time_ps,system,temperature_K,potential_energy_kJ_mol,ligand_rmsd_A,key_min_distance_A,TYR13_distance_A,VAL17_distance_A,SER20_distance_A,near_chains,severe_clashes,close_contacts,status
39,40chol,311.621,-445484,1.22942,3.38639,3.39786,4.03285,3.38639,2,0,0,ok
40,20chol,312.286,-456724,2.03168,3.43437,3.84088,4.26616,3.43437,2,0,0,ok
40,40chol,309.667,-447656,1.35581,3.31305,3.87661,4.01284,3.31305,2,0,0,ok
41,20chol,309.387,-456687,2.2367,3.38061,3.71039,4.01587,3.38061,2,0,0,ok
41,40chol,310.89,-447116,1.53402,3.5423,3.99229,3.79225,3.5423,2,0,0,ok
42,20chol,309.411,-457599,2.1378,3.57705,4.21473,4.10915,3.57705,2,0,0,ok
42,40chol,309.706,-447040,1.74465,3.43681,3.53525,3.71402,3.43681,2,0,0,ok
43,20chol,311.382,-456259,1.88875,3.50722,4.41391,3.97047,3.50722,2,0,0,ok
43,40chol,310.448,-445797,2.44408,3.52438,3.52438,4.1563,3.5735,2,0,0,ok
44,20chol,308.833,-455843,1.89064,3.60276,3.79432,4.26509,3.60276,2,0,0,ok
44,40chol,309.349,-447360,2.33266,3.84857,3.84857,4.16135,4.08773,2,0,0,ok
45,20chol,308.766,-456571,1.88895,3.67775,4.15624,4.08026,3.67775,2,0,0,ok
45,40chol,309.261,-447332,2.17261,3.38283,3.65061,3.89448,3.38283,2,0,0,ok
46,20chol,308.8,-456833,2.21529,3.52313,3.52313,4.22947,3.95386,2,0,0,ok
46,40chol,309.609,-447840,2.38838,3.36458,3.36458,4.22421,3.42734,2,0,0,ok
47,20chol,311.115,-456642,2.20381,3.80324,3.95903,4.37884,3.80324,2,0,0,ok
47,40chol,312.102,-445644,2.38275,3.41364,3.41364,3.99675,3.53378,2,0,0,ok
48,20chol,307.559,-457142,1.93836,3.62011,4.0086,3.62011,3.86345,2,0,0,ok
48,40chol,310.482,-446395,2.15981,3.25597,3.25597,3.57437,3.56939,2,0,0,ok
49,20chol,309.255,-456457,1.81047,3.73172,3.93938,3.73172,3.95632,2,0,0,ok
49,40chol,309.289,-448347,2.44218,3.5426,3.61273,3.5426,4.08085,2,0,0,ok
50,20chol,310.207,-455635,1.32742,3.65098,3.77494,3.65098,3.81263,2,0,0,ok
50,40chol,309.149,-446488,1.77934,3.53821,3.91322,3.53821,4.04224,2,0,0,ok
51,20chol,307.709,-455367,1.84423,3.41605,3.41605,4.08394,3.69255,2,0,0,ok
51,40chol,310.722,-447639,1.44293,3.26773,3.26773,4.07529,3.93808,2,0,0,ok
52,20chol,311.784,-456137,2.07353,3.26812,4.12639,4.80157,3.26812,2,0,0,ok
52,40chol,310.987,-445862,1.06447,3.62399,3.62399,4.30643,3.80781,2,0,0,ok
53,20chol,311.329,-456026,1.8585,3.50781,3.51599,3.50781,3.54699,2,0,0,ok
53,40chol,310.17,-445318,1.90625,3.17617,3.5663,4.2597,3.17617,2,0,0,ok
54,20chol,308.659,-456399,1.75617,3.59792,3.71047,3.92129,3.59792,2,0,0,ok
54,40chol,309.24,-447138,2.05533,3.5892,3.71232,3.97303,3.5892,2,0,0,ok
55,20chol,311.484,-456673,1.74261,3.77122,3.77122,4.00719,4.14229,2,0,0,ok
55,40chol,312.093,-446961,1.12155,3.41715,4.06084,3.41715,3.47651,2,0,0,ok
56,20chol,309.562,-456187,1.52887,3.50574,3.50574,3.94058,3.59811,2,0,0,ok
56,40chol,311.049,-446609,1.19059,3.17446,3.90126,3.4333,3.17446,2,0,0,ok
57,20chol,312.198,-456542,1.71405,3.55818,3.55818,3.73644,3.6283,2,0,0,ok
57,40chol,308.57,-447410,1.00213,3.43318,4.22058,3.857,3.43318,2,0,0,ok
58,20chol,311.464,-455229,1.66973,3.3514,3.3514,3.98546,3.71484,2,0,0,ok
58,40chol,311.074,-446516,1.23938,3.54185,3.92358,4.00559,3.54185,2,0,0,ok
59,20chol,308.74,-456477,1.84312,3.42913,4.18486,3.97049,3.42913,2,0,0,ok
59,40chol,311.991,-447291,1.31407,3.3758,3.97245,3.46753,3.3758,2,0,0,ok
60,20chol,312.284,-456187,1.50186,3.61565,3.95506,4.0865,3.61565,2,0,0,ok
60,40chol,308.039,-448346,0.966697,3.50009,3.5776,3.99359,3.50009,2,0,0,ok
61,20chol,307.967,-456059,1.89529,3.96992,4.47236,4.04636,3.96992,2,0,0,ok
61,40chol,307.814,-446976,1.18269,3.05314,3.38177,4.10522,3.05314,2,0,0,ok
62,20chol,310.656,-455167,1.68203,3.42862,4.56399,4.02497,3.42862,2,0,0,ok
62,40chol,310.863,-446774,1.08501,3.36081,3.45838,3.96898,3.36081,2,0,0,ok
63,20chol,308.478,-457642,1.79154,3.47908,4.61586,3.85205,3.47908,2,0,0,ok
63,40chol,309.698,-447612,1.30496,3.67925,3.93697,4.2583,3.67925,2,0,0,ok
64,20chol,309.457,-455873,1.48224,3.6374,4.14226,3.78377,3.6374,2,0,0,ok
64,40chol,311.01,-446580,0.967878,3.54918,3.90096,4.01027,3.54918,2,0,0,ok
65,20chol,309.907,-457252,2.17498,3.83338,4.68348,3.83338,3.86113,2,0,0,ok
65,40chol,309.314,-447378,1.25381,3.6758,3.6758,4.32559,3.69073,2,0,0,ok
66,20chol,311.909,-457078,1.86498,3.10259,3.88389,3.10259,3.73792,2,0,0,ok
66,40chol,310.665,-448588,1.60461,3.68657,3.77236,4.17753,3.68657,2,0,0,ok
67,20chol,310.183,-456109,2.14922,3.63805,4.31863,3.63805,3.77992,2,0,0,ok
67,40chol,309.675,-448007,1.64949,3.32613,3.94089,3.9218,3.32613,2,0,0,ok
68,20chol,308.924,-455112,2.04482,3.62923,3.84033,3.62923,3.86998,2,0,0,ok
68,40chol,310.406,-447584,1.36932,3.65207,3.66995,4.26163,3.65207,2,0,0,ok
69,20chol,311.823,-455783,1.79297,3.39567,3.91971,4.06361,3.39567,2,0,0,ok
69,40chol,309.372,-448381,0.982456,3.42808,3.49081,3.57179,3.42808,2,0,0,ok
70,20chol,309.215,-456888,1.35206,3.53864,3.89313,3.53864,3.72034,2,0,0,ok
70,40chol,308.567,-447084,1.09134,3.4024,3.7049,3.58945,3.4024,2,0,0,ok
71,20chol,310.982,-457078,1.63757,3.37625,3.84765,4.01049,3.37625,2,0,0,ok
71,40chol,309.044,-446416,1.39545,3.46244,3.62747,4.10085,3.46244,2,0,0,ok
72,20chol,310.992,-455646,1.69911,3.75313,3.75313,3.99857,3.75543,2,0,0,ok
72,40chol,310.228,-446876,1.69956,4.11111,4.31388,4.11111,4.11734,2,0,0,ok
73,20chol,310.443,-456606,1.52345,3.58138,3.58138,3.7156,3.84015,2,0,0,ok
73,40chol,310.91,-447908,1.52268,3.7502,4.33708,4.25901,3.7502,2,0,0,ok
74,20chol,311.191,-455404,1.84897,3.55025,3.76324,3.67751,3.55025,2,0,0,ok
74,40chol,308.391,-447784,1.53911,3.73618,4.30284,3.73618,3.94863,2,0,0,ok
75,20chol,310.573,-456141,1.76398,3.66088,3.66088,4.09539,3.78948,2,0,0,ok
75,40chol,309.356,-446991,1.54263,4.19166,4.20496,4.19166,4.44986,2,0,0,ok
76,20chol,311.991,-457700,1.83014,3.55922,3.81458,4.12041,3.55922,2,0,0,ok
76,40chol,309.823,-446076,1.47124,3.84143,4.12996,3.84143,3.97762,2,0,0,ok
77,20chol,311.007,-456465,1.81447,3.57061,3.57061,3.79037,3.86689,2,0,0,ok
77,40chol,312.344,-448112,1.22075,4.07474,4.58948,4.13137,4.07474,2,0,0,ok
78,20chol,310.378,-456343,1.62288,3.50884,4.35557,3.66795,3.50884,2,0,0,ok
78,40chol,308.6,-446857,1.81694,3.85935,5.11735,5.56912,3.85935,2,0,0,ok
79,20chol,309.345,-457611,1.654,3.19662,3.60323,3.19662,3.65305,2,0,0,ok
79,40chol,309.101,-447352,1.71512,3.93572,4.77561,4.40896,3.93572,2,0,0,ok
80,20chol,311.858,-456517,1.55598,3.52619,3.84485,3.52619,4.05752,2,0,0,ok
80,40chol,312.359,-446948,1.77915,3.68897,4.09411,3.68897,3.95433,2,0,0,ok
81,20chol,310.643,-456234,1.93259,3.48579,3.48579,3.54316,3.78361,2,0,0,ok
81,40chol,309.469,-446463,1.94003,3.67516,3.76641,4.0449,3.67516,2,0,0,ok
82,20chol,310.218,-456157,2.39725,3.68054,4.14005,3.68054,3.68163,2,0,0,ok
82,40chol,310.963,-447148,1.61776,3.68384,3.6899,3.87784,3.68384,2,0,0,ok
83,20chol,310.178,-456766,2.10789,3.41719,3.8199,3.41719,3.43144,2,0,0,ok
83,40chol,310.758,-447333,1.26424,3.55647,3.72354,3.55647,4.54728,2,0,0,ok
84,20chol,311.061,-456977,2.03226,3.43521,3.82153,3.95649,3.43521,2,0,0,ok
84,40chol,309.418,-447107,1.03427,3.81963,3.93359,4.87895,3.81963,2,0,0,ok
85,20chol,308.376,-457410,2.11721,3.56195,4.13875,3.74528,3.56195,2,0,0,ok
85,40chol,313.286,-448458,0.936575,3.28705,4.25454,3.98641,3.28705,2,0,0,ok
86,20chol,310.297,-457024,2.02087,3.53856,3.73711,3.53856,3.8301,2,0,0,ok
86,40chol,310.462,-446667,1.01871,3.81739,4.13594,3.83929,3.81739,2,0,0,ok
87,20chol,309.948,-455635,2.34517,3.62637,3.78708,4.02865,3.62637,2,0,0,ok
87,40chol,310.019,-446226,1.07461,3.5791,3.5791,4.21748,3.75087,2,0,0,ok
88,20chol,311.268,-457529,2.48709,3.56539,3.81796,4.03267,3.56539,2,0,0,ok
88,40chol,309.427,-448439,1.03606,3.69634,3.72021,4.26124,3.69634,2,0,0,ok
89,20chol,310.906,-457040,2.13347,3.5333,3.94089,3.92767,3.5333,2,0,0,ok
89,40chol,312.579,-447933,0.923419,3.80238,4.20044,4.35992,3.80238,2,0,0,ok
90,20chol,309.428,-457963,1.99016,3.2399,3.65566,3.2399,3.66145,2,0,0,ok
90,40chol,308.731,-448296,0.934314,3.26488,4.35334,3.86238,3.26488,2,0,0,ok
91,20chol,311.847,-456538,1.76899,3.47606,3.47606,3.89077,3.7214,2,0,0,ok
91,40chol,310.855,-447303,1.20697,3.93458,4.94968,4.12549,3.93458,2,0,0,ok
92,20chol,308.478,-457771,1.72864,3.54941,3.82991,3.79132,3.54941,2,0,0,ok
92,40chol,311.246,-447208,1.14974,3.69543,3.75522,3.69543,3.75779,2,0,0,ok
93,20chol,310.311,-456188,1.44543,3.61094,3.91868,3.7179,3.61094,2,0,0,ok
93,40chol,311.221,-446874,0.853078,3.46849,4.01439,4.10989,3.46849,2,0,0,ok
94,20chol,307.396,-456540,1.51572,3.33008,3.33008,3.76291,3.74395,2,0,0,ok
94,40chol,310.778,-448105,0.895813,3.84458,4.18857,3.84458,4.11502,2,0,0,ok
95,20chol,308.953,-457714,1.74524,3.65952,3.96959,3.92236,3.65952,2,0,0,ok
95,40chol,309.136,-446844,1.063,3.6558,4.72064,4.25254,3.6558,2,0,0,ok
96,20chol,309.185,-457245,1.63647,3.24323,3.58116,3.24323,3.68886,2,0,0,ok
96,40chol,310.499,-448056,1.80388,3.2609,4.98071,3.70251,3.2609,2,0,0,ok
97,20chol,310.271,-456863,1.85894,3.39489,3.39489,4.06594,3.72175,2,0,0,ok
97,40chol,307.428,-448658,1.79818,3.22875,4.49895,3.9668,3.22875,2,0,0,ok
98,20chol,310.968,-457043,1.8542,3.1182,3.77184,3.1182,3.82328,2,0,0,ok
98,40chol,311.815,-447175,1.97029,3.53296,5.31833,4.37041,3.53296,2,0,0,ok
99,20chol,309.501,-456312,1.7253,3.66,3.73563,3.66,3.78094,2,0,0,ok
99,40chol,309.243,-448012,1.49599,3.74323,3.86833,3.75019,3.74323,2,0,0,ok
100,20chol,312.407,-456383,1.88172,3.19104,3.7754,3.19104,3.65355,2,0,0,ok
100,40chol,311.199,-447778,1.55146,3.7453,3.7453,4.085,3.79117,2,0,0,ok
